rpa_acr,PUMA
CCC,04700
CCC,04800
SRPEDD,04500
SRPEDD,04301
MAPC,01000
MVPC,00702
MAPC,00703
MAPC,03306
NMCOG,00502
NMCOG,01300
MAPC,01400
MAPC,03302
MAPC,03603
MAPC,00704
MVPC,00701
NMCOG,00501
MAPC,00508
MAPC,00506
MAPC,03304
MAPC,03301
MAPC,03305
MAPC,03303
MAPC,02800
MAPC,00507
SRPEDD,04303
SRPEDD,04902
OCPC,04903
SRPEDD,04302
MAPC,03900
OCPC,04901
MAPC,03602
OCPC,04000
MAPC,00503
MAPC,00505
MAPC,03400
MAPC,00504
MAPC,02400
MAPC,03500
SRPEDD,04200
MAPC,03601
MRPC,00301
CMRPC,00303
CMRPC,00300
CMRPC,00304
PVPC,01902
PVPC,01900
CMRPC,00302
MRPC,00400
PVPC,01600
PVPC,01901
BRPC,00100
FRCOG,00200
MVC,04800
NPEDC,04800
