"","PUMACE10","puma_name","dev_sub","reg_urb","rur_twn","mat_sub","inn_cor","suburb","total_pop","dev_sub_p","reg_urb_p","rur_twn_p","mat_sub_p","inn_cor_p","suburb_p","puma_type"
"1","00100","00100",44302,58445,28472,0,0,44302,131219,0.34,0.45,0.22,0,0,0.34,"RegUrbCnt+Suburb+Rural"
"2","00200","00200",45820,37819,38107,0,0,45820,121746,0.38,0.31,0.31,0,0,0.38,"RegUrbCnt+Suburb+Rural"
"3","00300","00300",0,181045,0,0,0,0,181045,0,1,0,0,0,0,"RegUrbCtr"
"4","00301","00301",17363,101305,0,0,0,17363,118668,0.15,0.85,0,0,0,0.15,"RegUrbCtr"
"5","00302","00302",114388,0,5891,0,0,114388,120279,0.95,0,0.05,0,0,0.95,"Suburb"
"6","00303","00303",100563,13606,0,0,0,100563,114169,0.88,0.12,0,0,0,0.88,"Suburb"
"7","00304","00304",117912,33486,0,0,0,117912,151398,0.78,0.22,0,0,0,0.78,"Suburb"
"8","00400","00400",92571,0,15043,0,0,92571,107614,0.86,0,0.14,0,0,0.86,"Suburb"
"9","00501","00501",77376,0,0,33802,0,111178,111178,0.7,0,0,0.3,0,1,"Suburb"
"10","00502","00502",0,106519,0,0,0,0,106519,0,1,0,0,0,0,"RegUrbCtr"
"11","00503","00503",0,0,0,75574,60632,75574,136206,0,0,0,0.55,0.45,0.55,"RegUrbCnt+Suburb"
"12","00504","00504",0,106817,0,33006,0,33006,139823,0,0.76,0,0.24,0,0.24,"RegUrbCtr"
"13","00505","00505",0,0,0,21374,99488,21374,120862,0,0,0,0.18,0.82,0.18,"Core"
"14","00506","00506",0,0,0,0,105162,0,105162,0,0,0,0,1,0,"Core"
"15","00507","00507",0,0,0,0,117421,0,117421,0,0,0,0,1,0,"Core"
"16","00508","00508",0,0,0,0,115623,0,115623,0,0,0,0,1,0,"Core"
"17","00701","00701",0,184511,0,0,0,0,184511,0,1,0,0,0,0,"RegUrbCtr"
"18","00702","00702",82784,16283,0,6459,0,89243,105526,0.78,0.15,0,0.06,0,0.85,"Suburb"
"19","00703","00703",49572,127047,0,19808,0,69380,196427,0.25,0.65,0,0.1,0,0.35,"RegUrbCnt+Suburb"
"20","00704","00704",0,90329,0,17197,0,17197,107526,0,0.84,0,0.16,0,0.16,"RegUrbCtr"
"21","01000","01000",0,51251,0,77728,0,77728,128979,0,0.4,0,0.6,0,0.6,"RegUrbCnt+Suburb"
"22","01300","01300",33201,0,0,91529,0,124730,124730,0.27,0,0,0.73,0,1,"Suburb"
"23","01400","01400",49322,0,0,67357,0,116679,116679,0.42,0,0,0.58,0,1,"Suburb"
"24","01600","01600",82498,44602,16468,0,0,82498,143568,0.57,0.31,0.11,0,0,0.57,"RegUrbCnt+Suburb"
"25","01900","01900",0,153060,0,0,0,0,153060,0,1,0,0,0,0,"RegUrbCtr"
"26","01901","01901",37940,109365,0,0,0,37940,147305,0.26,0.74,0,0,0,0.26,"RegUrbCtr"
"27","01902","01902",56181,55298,0,15784,0,71965,127263,0.44,0.43,0,0.12,0,0.57,"RegUrbCnt+Suburb"
"28","02400","02400",49115,27999,0,38384,0,87499,115498,0.43,0.24,0,0.33,0,0.76,"Suburb"
"29","02800","02800",0,38120,0,72997,26983,72997,138100,0,0.28,0,0.53,0.2,0.53,"RegUrbCnt+Suburb"
"30","03301","03301",0,0,0,0,617594,0,617594,0,0,0,0,1,0,"Core"
"31","03302","03302",0,0,0,0,617594,0,617594,0,0,0,0,1,0,"Core"
"32","03303","03303",0,0,0,0,617594,0,617594,0,0,0,0,1,0,"Core"
"33","03304","03304",0,0,0,0,617594,0,617594,0,0,0,0,1,0,"Core"
"34","03305","03305",0,0,0,0,617594,0,617594,0,0,0,0,1,0,"Core"
"35","03306","03306",0,0,0,0,104429,0,104429,0,0,0,0,1,0,"Core"
"36","03400","03400",0,0,0,0,143878,0,143878,0,0,0,0,1,0,"Core"
"37","03500","03500",9708,0,0,95741,0,105449,105449,0.09,0,0,0.91,0,1,"Suburb"
"38","03601","03601",111084,0,0,17612,0,128696,128696,0.86,0,0,0.14,0,1,"Suburb"
"39","03602","03602",0,28602,0,89193,0,89193,117795,0,0.24,0,0.76,0,0.76,"Suburb"
"40","03603","03603",0,92271,0,27003,0,27003,119274,0,0.77,0,0.23,0,0.23,"RegUrbCtr"
"41","03900","03900",7542,0,0,121937,0,129479,129479,0.06,0,0,0.94,0,1,"Suburb"
"42","04000","04000",0,93810,0,31318,0,31318,125128,0,0.75,0,0.25,0,0.25,"RegUrbCtr"
"43","04200","04200",78171,61758,0,0,0,78171,139929,0.56,0.44,0,0,0,0.56,"RegUrbCnt+Suburb"
"44","04301","04301",106743,0,0,0,0,106743,106743,1,0,0,0,0,1,"Suburb"
"45","04302","04302",0,88857,0,0,0,0,88857,0,1,0,0,0,0,"RegUrbCtr"
"46","04303","04303",45911,55874,0,23184,0,69095,124969,0.37,0.45,0,0.19,0,0.55,"RegUrbCnt+Suburb"
"47","04500","04500",15873,95072,0,0,0,15873,110945,0.14,0.86,0,0,0,0.14,"RegUrbCtr"
"48","04700","04700",0,0,0,131159,0,131159,131159,0,0,0,1,0,1,"Suburb"
"49","04800","04800",34958,2942,5995,67541,0,102499,111436,0.31,0.03,0.05,0.61,0,0.92,"Suburb"
"50","04901","04901",118348,0,0,0,0,118348,118348,1,0,0,0,0,1,"Suburb"
"51","04902","04902",90159,0,0,17837,0,107996,107996,0.83,0,0,0.17,0,1,"Suburb"
"52","04903","04903",69097,0,0,58324,0,127421,127421,0.54,0,0,0.46,0,1,"Suburb"
